parameter,mean,stDev,lower0.89,upper0.89,effectiveN,rHat
alpha_fixed,125.93,4.01,120.12,131.72,3357,1
betaRiver_fixed,1.17,1.04,-0.4,2.76,6206,1
betaSize_fixed,2.05,1.33,0.03,4.12,4455,1
betaAge0_fixed,23.76,8.08,13.18,35.65,6963,1
betaAge2_fixed,-3.80,2.82,-8.02,0.3,4737,1
sigma_fixed,6.83,0.2,6.52,7.15,21000,1
alpha_cu[1],-2.10,0.97,-3.6,-0.58,9551,1
alpha_cu[2],-0.45,1.45,-2.7,1.83,8778,1
alpha_cu[3],-1.14,1.5,-3.41,1.25,8524,1
alpha_cu[4],-0.76,1.32,-2.8,1.34,10333,1
alpha_cu[5],1.43,1.57,-0.92,3.95,9773,1
alpha_cu[6],1.20,1.52,-1.14,3.6,6595,1
alpha_cu[7],1.77,1.06,0.14,3.44,9739,1
alpha_cu[8],-1.01,1.23,-2.86,1,12040,1
alpha_cu[9],1.12,1.07,-0.56,2.81,8604,1
alpha_yr[1],5.17,4.01,-0.44,11.14,3396,1
alpha_yr[2],0.32,3.98,-5.36,6.18,3310,1
alpha_yr[3],-4.91,3.98,-11.09,0.55,3321,1
betaAge0_cu[1],-0.01,4.53,-5.05,4.74,6714,1
betaAge0_cu[2],-0.10,4.26,-4.92,4.52,6379,1
betaAge0_cu[3],0.04,4.24,-4.68,4.63,8966,1
betaAge0_cu[4],0.05,4.14,-4.63,4.59,13334,1
betaAge0_cu[5],0.09,4.16,-4.94,4.71,6463,1
betaAge0_cu[6],0.07,4.07,-4.92,4.82,10538,1
betaAge0_cu[7],0.09,3.31,-4.6,4.33,7629,1
betaAge0_cu[8],0.06,4.2,-5.05,4.51,9543,1
betaAge0_cu[9],0.33,3.3,-4.08,4.56,3627,1
betaAge0_yr[1],0.06,11.12,-7.14,7.69,2935,1
betaAge0_yr[2],0.37,6.2,-6.2,7.93,5782,1
betaAge0_yr[3],-0.03,10.69,-7.63,7.56,1943,1
betaAge2_cu[1],-0.06,1.54,-2.43,2.28,11721,1
betaAge2_cu[2],0.03,1.99,-2.7,2.73,10187,1
betaAge2_cu[3],-0.04,2.04,-2.72,2.69,9758,1
betaAge2_cu[4],-0.11,1.57,-2.44,2.17,9030,1
betaAge2_cu[5],-0.12,1.81,-2.85,2.33,11030,1
betaAge2_cu[6],0.40,1.75,-2.11,2.97,6210,1
betaAge2_cu[7],-0.07,1.8,-2.67,2.5,11265,1
betaAge2_cu[8],-0.03,1.99,-2.71,2.54,9804,1
betaAge2_cu[9],0.00,2.03,-2.71,2.79,11321,1
betaAge2_yr[1],0.21,2.26,-2.63,3.5,3436,1
betaAge2_yr[2],-0.11,2.43,-3.46,3.09,2806,1
betaAge2_yr[3],-0.26,2.31,-3.51,2.75,4119,1
betaRiver_yr[1],0.60,0.96,-0.73,2.11,5858,1
betaRiver_yr[2],-0.74,0.96,-2.28,0.57,6170,1
betaRiver_yr[3],0.43,1,-1,1.97,5808,1
betaSize_cu[1],-0.60,0.75,-1.85,0.42,1738,1
betaSize_cu[2],-0.59,1.11,-2.33,0.94,7203,1
betaSize_cu[3],-0.19,0.93,-1.72,1.23,10246,1
betaSize_cu[4],-0.38,0.85,-1.74,0.91,9006,1
betaSize_cu[5],0.75,1.01,-0.62,2.38,4629,1
betaSize_cu[6],0.76,1.12,-0.77,2.53,5344,1
betaSize_cu[7],0.01,0.73,-1.16,1.16,7530,1
betaSize_cu[8],-0.14,0.95,-1.68,1.33,14200,1
betaSize_cu[9],0.65,0.86,-0.5,2.08,4712,1
betaSize_yr[1],0.74,1.38,-1.41,2.84,4788,1
betaSize_yr[2],1.63,1.43,-0.46,3.82,4623,1
betaSize_yr[3],-1.22,1.33,-3.38,0.67,4378,1
sigma_alpha_cu,1.95,0.73,0.89,2.93,6947,1
sigma_betaSize_cu,1.02,0.67,0.02,1.85,2135,1
sigma_betaAge0_cu,2.68,3.37,0.06,5.72,1003,1
sigma_betaAge2_cu,1.51,1.43,0.02,3.06,1281,1
sigma_alpha_yr,6.16,4.11,2.08,10.04,5855,1
sigma_betaAge0_yr,4.84,11.3,0.04,9.46,1376,1
sigma_betaAge2_yr,1.97,2.55,0.02,4.06,2752,1
sigma_betaRiver_yr,1.34,1.12,0.02,2.45,8295,1
sigma_betaSize_yr,2.16,1.49,0.46,3.9,5594,1
"rho_cu[1,1]",1.00,0,1,1,21000,NaN
"rho_cu[1,2]",0.15,0.28,-0.29,0.59,21000,1
"rho_cu[1,3]",0.00,0.3,-0.49,0.47,21000,1
"rho_cu[1,4]",0.00,0.3,-0.47,0.5,21000,1
"rho_cu[1,5]",0.15,0.28,-0.29,0.59,21000,1
"rho_cu[2,2]",1.00,0,1,1,17280,1
"rho_cu[2,3]",0.01,0.3,-0.49,0.48,21000,1
"rho_cu[2,4]",0.00,0.3,-0.46,0.51,21000,1
"rho_cu[3,1]",0.00,0.3,-0.49,0.47,21000,1
"rho_cu[3,2]",0.01,0.3,-0.49,0.48,21000,1
"rho_cu[3,3]",1.00,0,1,1,13902,1
"rho_cu[3,4]",-0.01,0.3,-0.48,0.47,2465,1
"rho_cu[4,1]",0.00,0.3,-0.47,0.5,21000,1
"rho_cu[4,2]",0.00,0.3,-0.46,0.51,21000,1
"rho_cu[4,3]",-0.01,0.3,-0.48,0.47,2465,1
"rho_cu[4,4]",1.00,0,1,1,7694,1
"rho_yr[1,1]",1.00,0,1,1,21000,NaN
"rho_yr[1,2]",0.10,0.26,-0.33,0.52,21000,1
"rho_yr[1,3]",0.02,0.27,-0.4,0.47,21000,1
"rho_yr[1,4]",0.01,0.29,-0.45,0.47,21000,1
"rho_yr[1,5]",0.01,0.29,-0.43,0.49,21000,1
"rho_yr[2,1]",0.10,0.26,-0.33,0.52,21000,1
"rho_yr[2,2]",1.00,0,1,1,16287,1
"rho_yr[2,3]",-0.07,0.29,-0.52,0.39,21000,1
"rho_yr[2,4]",0.00,0.29,-0.46,0.46,21000,1
"rho_yr[2,5]",0.00,0.29,-0.49,0.45,21000,1
"rho_yr[3,1]",0.02,0.27,-0.4,0.47,21000,1
"rho_yr[3,2]",-0.07,0.29,-0.52,0.39,21000,1
"rho_yr[3,3]",1.00,0,1,1,9536,1
"rho_yr[3,4]",0.01,0.29,-0.46,0.46,21000,1
"rho_yr[3,5]",0.00,0.28,-0.46,0.46,21000,1
"rho_yr[4,1]",0.01,0.29,-0.45,0.47,21000,1
"rho_yr[4,2]",0.00,0.29,-0.46,0.46,21000,1
"rho_yr[4,3]",0.01,0.29,-0.46,0.46,21000,1
"rho_yr[4,4]",1.00,0,1,1,14255,1
"rho_yr[4,5]",0.00,0.29,-0.47,0.45,21000,1
"rho_yr[5,1]",0.01,0.29,-0.43,0.49,21000,1
"rho_yr[5,2]",0.00,0.29,-0.49,0.45,21000,1
"rho_yr[5,3]",0.00,0.28,-0.46,0.46,21000,1
"rho_yr[5,4]",0.00,0.29,-0.47,0.45,21000,1
"rho_yr[5,5]",1.00,0,1,1,4499,1
