captureDate,year,latitude,longitude,cu,riverDist,lakeLatitude,captureFL,age,otolithLength,otolithWidth,entryCheckRadius,totalRadius,incrementCount,oceanEntryDate,entryFL,meanGrowth
149,2014,50.29053333,-125.3198,Chilliwack-ES,152.07,49.05,100,1,1836.83,1271.85,584.36,652.16,21,128,87.23420312,0.60789509
149,2014,50.29053333,-125.3198,Chilliwack-ES,152.07,49.05,128,1,2095.22,1532.73,674.21,761.63,27.33333333,122,110.3341844,0.646310326
149,2014,50.29053333,-125.3198,Chilko-S/Chilko-ES,661,51.26667,103,1,1827.68,1317.94,631.92,688.99,19,130,92.73950452,0.540026078
149,2014,50.29053333,-125.3198,Nadina-Francois-ES,1076,53.95833,114,1,1797.22,1391.91,672.4,701.45,11,138,108.241935,0.523460454
149,2014,50.29053333,-125.3198,Chilliwack-ES,152.07,49.05,103,1,1923.19,1365.19,648.45,721.91,28,121,90.66951584,0.440374434
150,2014,50.39481667,-125.3371167,Pitt-ES,55,49.43333,128,1,2067.34,1363.67,517.17,629.08,50,100,97.94855016,0.601028997
150,2014,50.39481667,-125.3371167,Chilliwack-ES,152.07,49.05,89,1,1709.91,1239.66,549.67,597.31,21,129,80.11633514,0.42303166
157,2014,50.40008333,-125.3355167,Chilko-S/Chilko-ES,661,51.26667,173,2,2463.77,1751.59,824.72,898.7,31.33333333,126,156.1474726,0.53784662
157,2014,50.40008333,-125.3355167,Lillooet-Harrison-L,185.5,49.9,130,1,2464.8,1602.88,663.96,764.76,41.33333333,116,109.3745044,0.499003925
157,2014,50.40008333,-125.3355167,Pitt-ES,55,49.43333,123,1,2191.51,1551.42,654.92,738.61,28.66666667,128,106.1447775,0.587972877
157,2014,50.3924,-125.3274,Chilko-S/Chilko-ES,661,51.26667,154,2,2399.99,1716.58,667.81,791.6,39.66666667,117,124.6195728,0.740683038
157,2014,50.3924,-125.3274,Lillooet-Harrison-L,185.5,49.9,128,2,2308.36,1614.76,673.58,788.03,46,111,105.958351,0.479166283
